,city,state,country,lat,lng,localtime,tz_id,last_updated,temp_c,condition,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_km,uv,gust_mph
84,Bhimavaram,Andhra Pradesh,India,16.53,81.53,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,28.5,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",10.7,265,W,1006.0,29.69,0.0,0.0,67,64,31.4,10.0,6.0,14.5
85,Bhind,Madhya Pradesh,India,26.56,78.79,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,37.5,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",13.9,101,ESE,1003.0,29.61,0.0,0.0,42,18,43.7,10.0,9.0,15.9
86,Bhiwandi,Maharashtra,India,19.3,73.07,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,26.0,"['Moderate rain at times', 1186, '//cdn.weatherapi.com/weather/64x64/day/299.png']",11.9,290,WNW,1006.0,29.71,2.0,0.08,100,100,29.9,1.5,6.0,12.3
87,Bhiwani,Haryana,India,28.78,76.13,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,36.8,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",16.6,130,SE,1003.0,29.61,0.0,0.0,43,17,42.7,10.0,9.0,19.0
88,Bhopal,Madhya Pradesh,India,23.27,77.4,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,29.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",5.6,90,E,1005.0,29.68,0.4,0.02,84,75,31.8,6.0,7.0,15.2
89,Bhubaneswar,,Bangladesh,23.83,89.95,2023-07-22 10:54,Asia/Dhaka,2023-07-22 10:45,31.2,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",16.6,133,SE,1007.0,29.74,0.0,0.0,72,100,38.5,10.0,7.0,19.0
90,Bhuj,Gujarat,India,23.27,69.67,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,30.9,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",12.5,264,W,1004.0,29.64,0.0,0.0,66,88,36.3,10.0,7.0,14.3
91,Bhusawal,Maharashtra,India,21.05,75.77,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,23.7,"['Moderate or heavy rain shower', 1243, '//cdn.weatherapi.com/weather/64x64/day/356.png']",13.4,281,WNW,1003.0,29.63,4.3,0.17,98,100,26.4,7.0,5.0,22.1
92,Block Island State Airport,Block Island,United States of America,41.17,-71.58,2023-07-22 0:54,America/New_York,2023-07-22 00:45,22.0,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/night/122.png']",4.3,200,SSW,1007.0,29.74,0.5,0.02,94,100,24.5,16.0,1.0,13.2
93,Bidar,Karnataka,India,17.9,77.55,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,21.9,"['Light drizzle', 1153, '//cdn.weatherapi.com/weather/64x64/day/266.png']",16.8,257,WSW,1006.0,29.72,0.6,0.02,90,100,21.9,2.0,5.0,24.2
94,Nagar,,Bangladesh,22.93,90.17,2023-07-22 10:54,Asia/Dhaka,2023-07-22 10:45,30.8,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",15.9,134,SE,1007.0,29.74,0.0,0.0,75,98,38.3,10.0,7.0,18.8
95,Bijapur,Karnataka,India,16.83,75.7,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,22.6,"['Light drizzle', 1153, '//cdn.weatherapi.com/weather/64x64/day/266.png']",19.5,260,W,1008.0,29.78,0.5,0.02,84,78,24.8,2.0,5.0,26.4
96,Bikaner,Rajasthan,India,28.02,73.3,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,36.1,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",4.0,233,SW,1002.0,29.59,0.0,0.0,47,21,42.8,10.0,9.0,4.7
97,Bilaspur,Chhattisgarh,India,22.08,82.15,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,30.5,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",7.4,145,SE,1003.0,29.61,0.2,0.01,67,98,35.4,10.0,7.0,9.6
98,Bokaro,Jharkhand,India,23.78,85.97,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,31.0,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",16.3,103,ESE,1005.0,29.68,0.7,0.03,68,100,36.9,10.0,7.0,27.7
99,Bongaon,West Bengal,India,23.07,88.82,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.2,0.01,75,75,39.4,2.8,7.0,18.3
100,Botad,Gujarat,India,22.17,71.67,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,29.7,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",11.2,279,W,1004.0,29.65,0.2,0.01,74,75,35.1,10.0,6.0,14.5
101,Brahmapur,,Bangladesh,22.85,91.0,2023-07-22 10:54,Asia/Dhaka,2023-07-22 10:45,30.2,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",15.2,147,SSE,1008.0,29.77,0.0,0.0,72,48,35.9,10.0,8.0,17.4
102,Budaun,Uttar Pradesh,India,28.05,79.12,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,33.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",12.8,102,ESE,1005.0,29.67,0.0,0.0,57,46,38.7,10.0,8.0,15.9
103,Bulandshahr,Uttar Pradesh,India,28.4,77.85,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,34.6,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",16.3,116,ESE,1004.0,29.65,0.0,0.0,54,44,41.8,10.0,8.0,18.8
104,Bundi,Rajasthan,India,25.44,75.64,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,35.7,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",8.1,34,NE,1002.0,29.59,0.0,0.0,48,19,42.2,10.0,9.0,9.2
105,Burari,Borno,Nigeria,11.47,13.77,2023-07-22 5:54,Africa/Lagos,2023-07-22 05:45,24.3,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",7.4,217,SW,1013.0,29.91,0.1,0.0,79,89,26.2,10.0,1.0,13.6
106,Burhanpur,Madhya Pradesh,India,21.3,76.23,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,25.1,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",10.5,280,W,1003.0,29.62,1.7,0.07,93,100,28.2,10.0,6.0,18.6
107,Buxar,Bihar,India,25.58,83.98,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,34.7,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",18.8,101,ESE,1004.0,29.65,0.0,0.0,51,100,40.7,10.0,7.0,21.7
108,Champdani,West Bengal,India,22.8,88.37,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/night/389.png']",10.5,90,E,1005.0,29.68,0.0,0.0,75,75,46.7,2.8,1.0,14.1
109,Chandannagar,West Bengal,India,22.87,88.38,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.1,0.0,75,75,38.4,2.8,7.0,17.2
110,Chandausi,Uttar Pradesh,India,28.45,78.77,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,31.7,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",13.4,97,E,1005.0,29.69,0.2,0.01,64,74,37.7,10.0,7.0,18.1
111,Chandigarh,Chandigarh,India,30.74,76.79,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,26.8,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",10.3,93,E,1006.0,29.7,2.0,0.08,84,74,30.4,10.0,6.0,19.2
112,Chandrapur,Maharashtra,India,19.95,79.3,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,24.2,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",12.3,249,WSW,1003.0,29.6,0.6,0.02,95,100,26.9,10.0,5.0,17.9
113,Chapra,,Bangladesh,22.55,89.18,2023-07-22 10:55,Asia/Dhaka,2023-07-22 10:45,31.0,"['Thundery outbreaks possible', 1087, '//cdn.weatherapi.com/weather/64x64/day/200.png']",13.2,135,SE,1006.0,29.71,0.0,0.0,73,77,38.2,9.0,7.0,15.4
114,Chas,Jharkhand,India,23.63,86.17,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,31.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",17.0,103,ESE,1005.0,29.67,0.7,0.03,67,100,37.5,10.0,7.0,28.4
115,Chennai,Tamil Nadu,India,13.08,80.28,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",15.0,240,WSW,1006.0,29.71,0.0,0.0,63,75,34.4,5.0,8.0,21.7
116,Chhattarpur,Delhi,India,28.5,77.18,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",9.4,110,ESE,1007.0,29.74,0.0,0.0,75,75,34.5,3.5,8.0,16.8
117,Chhindwara,Madhya Pradesh,India,22.07,78.93,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,24.7,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/night/176.png']",6.0,59,ENE,1001.0,29.55,0.4,0.02,88,74,27.1,9.0,1.0,11.0
118,Chikmagalur,Karnataka,India,13.32,75.78,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,22.1,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",16.6,265,W,1012.0,29.88,0.1,0.0,77,67,24.6,10.0,5.0,19.9
119,Chitradurga,Karnataka,India,14.23,76.4,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,24.3,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",25.1,268,W,1010.0,29.84,0.0,0.0,71,100,26.0,10.0,5.0,29.1
120,Chittaurgarh,Rajasthan,India,24.88,74.63,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,33.4,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",8.3,33,NNE,1003.0,29.62,0.2,0.01,56,79,39.3,9.0,7.0,10.7
121,Chittoor,Andhra Pradesh,India,13.2,79.12,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.5,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",19.7,273,W,1008.0,29.78,0.0,0.0,41,45,34.0,10.0,8.0,22.6
122,Churu,Rajasthan,India,28.3,74.95,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,37.4,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",3.6,53,NE,1002.0,29.59,0.0,0.0,41,16,43.4,10.0,9.0,4.0
123,Coimbatore,Tamil Nadu,India,10.99,76.96,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,29.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",8.1,270,W,1011.0,29.85,0.0,0.0,66,50,30.2,6.0,7.0,18.3
124,Cuddalore,Tamil Nadu,India,11.75,79.75,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.3,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",15.9,284,WNW,1009.0,29.79,0.0,0.0,47,14,34.7,10.0,8.0,20.6
125,Cuttack,Orissa,India,20.5,85.83,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,29.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",8.1,110,ESE,1004.0,29.65,0.6,0.02,84,50,32.1,5.0,7.0,13.0
126,Pura Pura,La Paz,Bolivia,-16.48,-68.17,2023-07-22 0:55,America/La_Paz,2023-07-22 00:45,2.1,"['Clear', 1000, '//cdn.weatherapi.com/weather/64x64/night/113.png']",2.5,90,E,1021.0,30.15,0.0,0.0,68,4,1.3,10.0,1.0,5.1
127,Damoh,Madhya Pradesh,India,23.83,79.45,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,33.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",14.5,81,E,1002.0,29.59,0.0,0.0,57,36,38.6,10.0,8.0,16.8
128,Darbhanga,Bihar,India,26.17,85.9,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,34.2,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",20.1,104,ESE,1006.0,29.71,0.0,0.0,54,39,40.5,10.0,8.0,23.0
129,Darjiling,West Bengal,India,27.03,88.27,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,16.1,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/night/353.png']",2.2,340,NNW,1011.0,29.85,0.4,0.02,98,91,16.1,10.0,1.0,3.8
130,Datia,Madhya Pradesh,India,25.67,78.47,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,35.9,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",14.5,89,E,1002.0,29.6,0.0,0.0,45,12,41.5,10.0,9.0,16.8
131,Deesa,Gujarat,India,24.25,72.17,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.3,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",7.4,295,WNW,1003.0,29.62,0.1,0.0,68,84,40.4,10.0,7.0,9.2
132,Dehradun,Uttarakhand,India,30.32,78.03,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,23.8,"['Moderate or heavy rain shower', 1243, '//cdn.weatherapi.com/weather/64x64/day/356.png']",2.2,1,N,1009.0,29.78,2.6,0.1,96,89,26.4,7.0,5.0,3.6
133,Dehri,Bihar,India,24.87,84.18,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,34.7,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",15.9,105,ESE,1004.0,29.63,0.0,0.0,50,94,40.6,10.0,7.0,18.3
134,Delhi,Ontario,Canada,42.85,-80.5,2023-07-22 0:55,America/Toronto,2023-07-22 00:45,14.5,"['Clear', 1000, '//cdn.weatherapi.com/weather/64x64/night/113.png']",2.2,290,WNW,1012.0,29.88,0.0,0.0,96,0,13.5,10.0,1.0,19.2
135,Delhi Cantonment,Delhi,India,28.6,77.13,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",9.4,110,ESE,1007.0,29.74,0.0,0.0,75,75,34.5,3.5,8.0,16.8
136,Deoghar,,Bangladesh,24.27,91.08,2023-07-22 10:55,Asia/Dhaka,2023-07-22 10:45,34.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",5.6,130,SE,1008.0,29.77,0.0,0.0,60,50,43.5,6.0,7.0,11.6
137,Deoli,Maharashtra,India,20.67,78.48,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,25.7,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",12.3,251,WSW,1002.0,29.58,1.4,0.06,92,100,29.2,10.0,6.0,23.9
138,Deoria,Uttar Pradesh,India,26.5,83.79,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,35.2,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",19.7,104,ESE,1005.0,29.68,0.0,0.0,49,82,41.4,10.0,8.0,22.6
139,Dewas,Madhya Pradesh,India,22.97,76.07,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,27.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",4.3,10,N,1006.0,29.71,0.5,0.02,84,50,29.7,7.0,6.0,17.7
140,Dhanbad,Jharkhand,India,23.8,86.45,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,31.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",16.3,100,E,1005.0,29.68,0.5,0.02,66,64,37.4,10.0,7.0,25.7
141,Dharmavaram,Andhra Pradesh,India,14.43,77.72,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,27.9,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",26.4,270,W,1009.0,29.79,0.0,0.0,60,57,29.5,10.0,7.0,30.4
142,Dhaulpur,Rajasthan,India,26.7,77.9,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,37.6,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",13.6,124,SE,1002.0,29.6,0.0,0.0,41,19,43.8,10.0,9.0,15.7
143,Dhule,Maharashtra,India,20.9,74.78,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,23.8,"['Moderate or heavy rain shower', 1243, '//cdn.weatherapi.com/weather/64x64/day/356.png']",15.4,253,WSW,1004.0,29.63,5.1,0.2,95,100,26.3,7.0,5.0,24.4
144,Dibrugarh,Assam,India,27.48,94.9,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,33.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/night/143.png']",8.1,20,NNE,1008.0,29.77,0.0,0.0,67,75,49.3,5.0,1.0,4.3
145,Dimapur,Assam,India,25.9,93.73,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,26.3,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",2.2,358,N,1010.0,29.81,0.9,0.04,95,94,30.8,10.0,6.0,2.0
146,Nizamat Ghopkhali,,Bangladesh,22.27,89.9,2023-07-22 10:55,Asia/Dhaka,2023-07-22 10:45,30.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",15.9,140,SE,1007.0,29.74,0.7,0.03,77,97,37.6,10.0,7.0,25.7
147,Dindigul,Tamil Nadu,India,10.35,77.95,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,35.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",20.6,280,W,1008.0,29.77,0.0,0.0,44,25,37.9,6.0,8.0,10.5
148,Dum Dum,West Bengal,India,22.62,88.42,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.2,0.01,75,75,39.6,2.8,7.0,18.3
149,Durgapur,West Bengal,India,23.48,87.32,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.7,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",14.5,109,ESE,1005.0,29.67,0.1,0.0,62,76,39.5,10.0,7.0,17.2
150,Durgapur,West Bengal,India,23.48,87.32,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.7,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",14.5,109,ESE,1005.0,29.67,0.1,0.0,62,76,39.5,10.0,7.0,17.2
151,Eluru,Andhra Pradesh,India,16.7,81.1,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,28.0,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",5.6,230,SW,1003.0,29.62,0.0,0.0,84,100,29.9,6.0,7.0,17.4
152,English Bazar,West Bengal,India,25.0,88.15,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",14.8,104,ESE,1007.0,29.72,0.5,0.02,65,93,39.6,10.0,7.0,22.6
153,Erode,Tamil Nadu,India,11.35,77.73,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.1,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",9.6,239,WSW,1010.0,29.82,0.0,0.0,42,27,33.4,10.0,8.0,11.2
154,Etah,Uttar Pradesh,India,27.63,78.67,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,36.4,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",14.1,114,ESE,1004.0,29.64,0.0,0.0,45,34,42.7,10.0,9.0,16.1
155,Etawah,Uttar Pradesh,India,26.77,79.03,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,37.4,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",14.3,103,ESE,1003.0,29.62,0.0,0.0,43,18,43.9,10.0,9.0,16.6
156,Faizabad,Uttar Pradesh,India,26.78,82.13,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,34.5,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",18.3,99,E,1005.0,29.66,0.0,0.0,53,100,41.0,10.0,7.0,21.0
157,Faridabad,Haryana,India,28.43,77.32,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",9.4,110,ESE,1007.0,29.74,0.0,0.0,75,75,34.4,3.5,9.0,17.0
158,Farrukhabad,Fars,Iran,31.2,52.61,2023-07-22 8:25,Asia/Tehran,2023-07-22 08:15,29.7,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",6.7,92,E,1009.0,29.8,0.0,0.0,17,18,27.5,10.0,7.0,7.8
159,Fatehpur,Rajasthan,India,27.98,74.95,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,36.6,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",4.0,346,NNW,1002.0,29.6,0.0,0.0,44,16,42.7,10.0,9.0,4.7
160,Firozabad,Uttar Pradesh,India,27.15,78.42,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,37.4,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",13.4,113,ESE,1003.0,29.62,0.0,0.0,42,19,43.6,10.0,9.0,15.4
161,Firozpur,Punjab,India,30.92,74.6,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,35.3,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",10.7,135,SE,1003.0,29.62,0.1,0.0,53,78,43.1,10.0,8.0,12.8
162,Gadag,Balochistan,Pakistan,25.63,64.31,2023-07-22 9:55,Asia/Karachi,2023-07-22 09:45,28.6,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",10.3,252,WSW,1003.0,29.62,0.0,0.0,81,42,33.9,10.0,7.0,13.6
163,Gandhidham,Gujarat,India,23.08,70.13,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,31.6,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",11.4,257,WSW,1004.0,29.64,0.0,0.0,65,90,37.5,10.0,7.0,13.2
164,Gandhinagar,Gujarat,India,23.22,72.68,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,29.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/night/143.png']",6.9,270,W,1002.0,29.59,0.9,0.04,89,100,34.5,3.0,1.0,13.6
165,Ganganagar,Rajasthan,India,29.92,73.88,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,36.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",4.5,135,SE,1002.0,29.6,0.9,0.04,41,82,41.1,10.0,8.0,8.1
166,Gangapur,,Bangladesh,22.53,90.68,2023-07-22 10:55,Asia/Dhaka,2023-07-22 10:45,29.9,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",18.1,138,SE,1007.0,29.75,0.2,0.01,79,88,36.8,10.0,6.0,22.6
167,Gangawati,Karnataka,India,15.43,76.53,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,25.2,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",21.0,264,W,1009.0,29.79,0.0,0.0,73,63,27.0,10.0,6.0,24.4
168,Gaya,Bihar,India,24.78,85.0,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",12.5,80,E,1005.0,29.68,0.0,0.0,71,50,34.5,5.0,8.0,20.6
169,Ghazipur,Uttar Pradesh,India,25.58,83.57,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,34.5,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",18.1,100,E,1004.0,29.65,0.0,0.0,50,100,40.2,10.0,7.0,20.8
170,Giridih,Jharkhand,India,24.18,86.3,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,30.7,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",17.7,108,ESE,1006.0,29.7,0.2,0.01,68,67,36.1,10.0,7.0,23.0
171,Godhra,Gujarat,India,22.75,73.63,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,28.7,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",9.6,259,W,1004.0,29.65,0.1,0.0,83,100,34.4,10.0,6.0,12.1
172,Gokal,Punjab,Pakistan,31.33,70.89,2023-07-22 9:55,Asia/Karachi,2023-07-22 09:45,40.2,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",8.3,172,S,1000.0,29.52,0.0,0.0,35,12,46.6,10.0,10.0,9.6
173,Gondar,,Ethiopia,12.6,37.47,2023-07-22 7:55,Africa/Addis_Ababa,2023-07-22 07:45,15.1,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",3.6,149,SSE,1019.0,30.08,0.0,0.0,88,37,15.1,10.0,5.0,6.5
174,Gondal,Gujarat,India,21.97,70.8,2023-07-22 10:25,Asia/Kolkata,2023-07-22 10:15,29.5,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",11.9,274,W,1005.0,29.67,0.0,0.0,73,100,34.5,10.0,6.0,13.6
175,Gorakhpur,Haryana,India,29.45,75.68,2023-07-22 10:26,Asia/Kolkata,2023-07-22 10:15,35.5,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",15.2,116,ESE,1003.0,29.62,0.1,0.0,50,87,42.3,10.0,8.0,18.8
176,Hyderabad,Sindh,Pakistan,25.37,68.37,2023-07-22 9:56,Asia/Karachi,2023-07-22 09:45,32.5,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",17.4,230,SW,1002.0,29.58,0.0,0.0,60,30,38.5,10.0,8.0,20.1
