city,latitude,longitude,temperature,humidity
Faridabad,28.43,77.32,34.0,43
Farrukhabad,31.2,52.61,33.8,8
Fatehpur,27.98,74.95,41.0,23
Firozabad,27.15,78.42,36.0,39
Firozpur,30.92,74.6,36.8,29
Gadag,25.63,64.31,40.9,27
Gandhidham,23.08,70.13,35.2,51
Gandhinagar,23.22,72.68,41.5,28
Ganganagar,29.92,73.88,42.4,12
Gangapur,22.53,90.68,31.3,75
Gangawati,15.43,76.53,38.0,33
Gaya,24.78,85.0,31.4,58
Ghazipur,25.58,83.57,33.0,53
Giridih,24.18,86.3,29.3,69
Godhra,22.75,73.63,39.0,36
Gokal,31.33,70.89,42.3,15
Gondar,12.6,37.47,21.1,62
Gondal,21.97,70.8,37.2,39
Gorakhpur,29.45,75.68,37.4,27
Hyderabad,25.37,68.37,40.7,42
Mumbai,18.98,72.83,32.7,61
Noida,28.57,77.32,34.0,45
Gudivada,16.45,80.98,37.5,41
Gulbarga,17.33,76.83,38.3,28
Guna,24.65,77.32,38.6,25
Guntakal,15.17,77.38,35.7,39
Guntur,16.3,80.45,38.2,38
Gurgaon,28.47,77.03,33.3,46
Guwahati,26.18,91.73,32.0,55
Gwalior,26.22,78.18,36.6,36
Habra,22.83,88.63,25.2,95
Hajipur,25.68,85.22,30.0,67
Haldia,22.03,88.06,28.0,81
Haldwani,29.22,79.52,31.0,42
Halisahar,22.95,88.42,25.8,96
Hanumangarh,29.58,74.32,41.8,14
Haora,22.59,88.31,24.9,99
Hapur,28.72,77.78,32.4,53
Hardoi,27.12,80.15,35.1,40
Hardwar,29.97,78.17,31.8,43
Hassan,13.0,76.1,26.8,71
Hathras,27.6,78.05,34.6,44
Hazaribag,23.98,85.35,30.5,46
Hindaun,26.72,77.02,36.8,33
Hindupur,13.83,77.49,34.8,39
Hinganghat,20.57,78.83,41.7,25
Hisar,29.17,75.72,39.0,26
Hoshangabad,22.75,77.72,39.9,28
Hoshiarpur,31.53,75.92,34.2,29
Hospet,15.27,76.4,34.8,44
Hosur,12.72,77.82,32.5,44
Dharwad,15.47,75.02,33.2,43
Hugli,22.85,91.02,32.1,66
Ichalkaranji,16.7,74.47,35.6,35
Imphal,24.82,93.95,29.7,42
Indore,22.72,75.83,38.1,28
Jabalpur,23.17,79.95,41.5,17
Jagadhri,30.17,77.3,33.0,42
Jagdalpur,19.07,82.03,35.5,38
Jaipur,26.92,75.82,38.5,22
Jalandhar,31.33,75.58,35.6,29
Jalgaon,21.05,76.53,39.8,23
Jalna,19.83,75.88,40.1,20
Jalpaiguri,26.52,88.73,31.8,60
Jamalpur,24.92,89.93,32.2,63
