city,latitude,longitude,temperature,humidity
Pune,18.52,73.85,35.5,39
Mumbai,19.07,72.87,33.7,61
Delhi,28.61,77.2,41.0,17
Chennai,13.08,80.27,38.0,43
Bangalore,12.97,77.59,27.7,65
Kolkata,22.57,88.36,36.2,60
